1, truck, 0.96, 569, 530, 202, 225
2, car, 0.99, 1889, 761, 110, 139
3, bus, 0.73, 499, 169, 163, 158
4, car, 0.99, 1277, 666, 350, 271
5, bus, 0.73, 519, 39, 140, 82
6, truck, 0.88, 1053, 753, 472, 367
7, car, 0.90, 443, 267, 138, 82
8, truck, 0.75, 854, 510, 254, 217
9, car, 0.91, 1059, 752, 466, 367
10, bus, 0.82, 79, 45, 255, 171
11, car, 0.97, 1269, 677, 350, 269
12, bus, 0.57, 632, 270, 126, 89
13, truck, 0.71, 996, 422, 271, 242
14, bus, 0.97, 219, 62, 142, 148
15, car, 0.94, 858, 509, 251, 215
16, person, 0.67, 1683, 7, 112, 119
17, car, 0.75, 435, 232, 102, 45
18, bus, 0.77, 618, 31, 123, 76
19, truck, 0.63, 724, 379, 195, 162
20, person, 0.56, 1117, 114, 60, 60
21, bus, 0.94, 544, 74, 275, 272
22, bus, 0.62, 660, 150, 253, 202
23, car, 0.99, 1433, 607, 403, 236
24, person, 0.74, 1303, 312, 51, 42
25, car, 0.94, 1761, 1024, 237, 100
26, bus, 0.57, 1000, 423, 268, 241
27, bus, 0.94, 775, 206, 164, 138
28, person, 0.98, 31, 228, 59, 78
