1, car, 0.55, 616, 152, 37, 22
2, car, 0.99, 94, 398, 303, 142
3, person, 0.72, 336, 227, 31, 30
4, person, 0.96, 268, 339, 38, 52
5, car, 0.98, 592, 201, 52, 34
6, person, 0.91, 304, 361, 40, 39
7, car, 0.98, 372, 268, 88, 98
8, person, 1.00, 477, 373, 38, 70
9, person, 0.93, 173, 289, 32, 36
10, person, 0.93, 186, 291, 30, 34
11, person, 0.86, 279, 236, 33, 41
12, person, 0.97, 137, 303, 34, 62
13, car, 0.54, 318, 287, 107, 82
14, person, 0.98, 762, 428, 39, 112
15, bicycle, 0.98, 486, 421, 25, 34
16, person, 0.88, 231, 382, 33, 23
17, car, 0.77, 493, 198, 31, 22
18, person, 0.62, 799, 298, 43, 55
19, person, 0.60, 283, 242, 33, 42
20, person, 0.96, 283, 384, 44, 32
21, person, 0.77, 146, 276, 33, 41
22, person, 0.99, 879, 457, 64, 111
23, person, 0.93, 178, 313, 43, 65
24, person, 0.94, 260, 306, 39, 50
25, car, 0.99, 573, 242, 77, 65
26, person, 0.53, 496, 141, 25, 23
27, car, 0.95, 476, 200, 34, 22
28, person, 0.71, 397, 193, 30, 45
29, person, 0.94, 273, 317, 38, 50
30, car, 0.82, 488, 168, 41, 27
31, car, 0.82, 597, 152, 43, 21
32, person, 0.89, 276, 436, 45, 28
33, person, 0.81, 450, 212, 26, 31
34, person, 0.72, 626, 154, 22, 27
35, person, 0.73, 430, 200, 29, 39
36, person, 0.72, 741, 316, 30, 49
37, person, 0.89, 801, 300, 47, 74
38, car, 0.88, 531, 198, 44, 23
39, car, 0.94, 528, 203, 52, 41
40, truck, 0.70, 529, 202, 55, 44
41, person, 0.96, 782, 425, 47, 113
42, person, 0.96, 191, 311, 49, 67
